,Consumer complaint narrative
2704,"On XX/XX/2022 I received a text asking me if I had tried to send XXXX via XXXX to XXXXXXXX XXXX. I responded No but immediately called Wells Fargo Bank to see what was going on. They told me it was a scam and had me to send a screen shot of the text to their phishing department. Less than 10 minutes from sending the email I received a phone call from the Wells Fargo number and put it on speakerphone. The gentleman told me he was an employee of Wells Fargo and was calling to save my money. He proceeded to tell me to transfer my money in savings to my checking account. He even knew how much I had in my accounts. He gave me an email address of XXXX. He had me go to XXXX on my WF app and had me to start sending my money to this email on XXXX. I told him I didnt feel right about this but he said he would never jeopardize his job with WF and gave me a badge number of XXXX I had a witness, my roommate, XXXX XXXX who was hearing the conversation so she can attest to what was said. I begrudgingly sent my money telling him the whole time I didnt feel good but he just kept reassuring me everything was legitimate. He then told me he would send me an email to change my username and password but didnt receive in 5 minutes and called WF to find out why and she said I had been scammed. She filled out disputes for me and told me how to change my username and password. I am in a XXXX home and have no way to replace my money. This was for me to go to my daughters wedding and if I dont get the money back I will not be able to go to her wedding."
2705,"Recently I was in touch with a potential buyer of a couch I was selling through XXXX XXXX. The scammer messaged me on my XXXX XXXX saying they wanted to buy the couch but said they needed my information first. After multiple conversations about the transaction, I received emails from XXXX, which ended up being a fake email account, that said I needed to send the buyer money so I could be reimbursed the money sent plus the money for the couch ( {$500.00} ). After sending the buyer {$1500.00} total, the account I was messaging was deleted and I did not receive any money back in return for the couch or from what I had sent them after many emails from XXXX saying that I would. I have been in touch with Wells Fargo about this but they have declined to give back any of the money after the investigation was completed. Wells Fargo did not ask for any information about the fake account or emails they just got my verbal explanation and claimed it was a consensual agreement to send the money which it was not."
2706,"I file a Complaint with Wells Fargo related to a XXXX transaction for {$600.00}. The transaction date was XX/XX/22. The transaction was sent to the wrong email address. I reported this by phone to Wells Fargo on XX/XX/22. They stated they would begin an investigation of the transaction at that time. I have claim number with Wells Fargo that I can provide to you. Wells Fargo sent a a letter on XX/XX/22 that they were still investigating and would follow up, but they have not. On XX/XX/22 I called to request that Wells Fargo send me information they are using in their "" research ''. I was told this could take longer than 30 days, but I may hear from Wells Fargo on their own initiative at some point."
2710,"Below is a letter I sent Wells Fargo and XXXX XXXX XXXX XXXX- it is a comprehensive description of my case. I'm happy to provide more details securely upon request i.e. check images, confirmation numbers and case numbers : I have been a Wells Fargo customer for almost XXXX years. We are escalating this to your office since we have tried to resolve this issue with multiple people without success at Wells Fargo. Please review the below information on Case Number ( will provide if needed ) and help resolve my issue with Wells Fargo not returning my {$55000.00}. 

On XX/XX/XXXX I was instructed by a Wells Fargo teller at the XXXX, XXXX  XXXX that the best way to transfer funds would be via a cashiers check. I deposited the check for {$55000.00} on XX/XX/XXXX via the XXXX mobile app and I received a confirmation from XXXX ( confirmation # provided if needed ) the same day. On XX/XX/XXXX a check image was posted to my XXXX account as Accepted. 

After purchasing {$55000.00} of investments, 10 days later, on a XXXX  XX/XX/XXXX, our financial adviser received a call from XXXX XXXX that Wells Fargo was not accepting the check due to poor image quality. Furthermore, I didnt receive any written or phone notification from Wells Fargo that the check was declined. Due to commissions and market fluctuations, Wells Fargo not accepting the check was forcing me to lose significantly more than my initial investment. 

First thing Monday morning XX/XX/XXXX I went to the XXXX Wells Fargo branch to try to resolve the issue. I provided legible images of the check to XXXX XXXX XXXX, XXXX Banker at Wells Fargo. After XXXX hours of speaking with various customer service reps, they claimed it was simply the "" automated system '' declining the check. I was told I was responsible for an {$820.00} surety bond fee or to wait 6 months for the check to void while my entire lifes savings just sits with Wells Fargo. 

Neither of the above recommended options is acceptable. I did nothing wrong, followed the appropriate directions and should not be responsible for any fees or withholding. I want my money returned to me immediately. 

Having missed hours of work, on XX/XX/XXXX my dad had to take time from his busy schedule to personally go to the branch and try and get this resolved. He did his best to try to resolve the situation with numerous executives and branch managers that were seemingly nowhere to be found. Apparently, the XXXX Wells Fargo doesnt have a branch manager. Later, we found out that the acting Branch Manager was XXXX XXXX from the XXXX XXXX. My dad also worked with XXXX, XXXX XXXX at the XXXX branch. After many hours, numerous calls, many emails, and meetings over multiple days our issue was finally escalated to XXXX XXXX XXXX XXXX XXXX Case Specialist ). That team said they would take 10 days to get back to us. 
On XX/XX/XXXX, our financial advisor spoke with XXXX XXXX again. They offered a simple solution, asking Well Fargo to provide a letter saying Wells Fargo would be willing to accept the check. After multiple days and discussions, Wells Fargo finally sent a letter with limited information over a week later, on XX/XX/XXXX. On XX/XX/XXXX XXXX explained that they had escalated the situation to the Deposits group to find a solution but was informed that they could not credit the account and re-present the cashiers check. The solution was to re-issue the check which Wells Fargo was not willing to do without me purchasing an {$820.00} XXXX XXXX. 

On XX/XX/XXXX I left another message for XXXX XXXX since we had still not heard back after 10 days. I also emailed XXXX letting her know I had not heard back from XXXX. We were informed the case was escalated to XXXX XXXX, Senior Escalations Representative at the Consumer and XXXX XXXX XXXX XXXX. XXXX called my dad, XXXX, the next day XX/XX/XXXX on a recorded line. It was apparent that XXXX had not done any research on the situation after it being escalated to him over a week prior. After both of us ( on speakerphone ) having to explain the entire situation to him again, even though he had the case number and should have researched it before calling us, he told us he couldnt do anything without further researching the case. 
I called XXXX several times by Tuesday on a Wells Fargo recorded line XX/XX/XXXX to follow up and was only able to get his voicemail. I called XXXX to try and get some information and he attempted to reach XXXX while keeping me on hold for quite some time. XXXX informed me XXXX was not available and after I made a fuss and insisted this situation be resolved, I was put on hold again while XXXX reached out to XXXX. Somehow XXXX was magically available after XXXX reached out the second time. XXXX answered the phone by telling me he was leaving for the day and had to make a personal appointment. He informed me that he sent a letter to my dad explaining once again, that Wells Fargo will not offer any solution other that having me pay the {$820.00} surety bond or waiting 90 days while they sit on my money. I was very upset that after all this waiting for an executive, taking time off work to deal with this matter in person, hours of email exchanges and phone calls, I was in the exact same position I started in. I requested numerous times to be given an email address or contact number for XXXX superior and he refused to give me any further details or make even the bare minimum effort to connect me with another person. He repeatedly told me he had to make a personal appointment and finally hung up on me. 

We later received said letter from XXXX dated XX/XX/XXXX. We then received another letter dated XX/XX/XXXX from XXXX XXXX, stating Wells Fargo is looking into this and theyd respond within XXXX days. The fact that we received a letter dated XX/XX/XXXX reinforcing XXXX XXXX decision and then a letter dated XXXX  days later claiming Wells Fargo is looking into it, offers written proof of the incompetency with which this case has been handled and the subsequent confusion it has created. 

On XX/XX/XXXX and XX/XX/XXXX I looked up contact information for the executive offices of Wells Fargo and XXXX XXXX and sent them this letter. By XX/XX/XXXX I heard back via email from XXXX XXXX ( XXXX Office Case XXXX ), with Wells Fargo once again stating Thank you for sharing your concerns with us. We know this needs our attention, and were looking into it for you. On XX/XX/XXXX I got a call from XXXX with no information other than she will research my case. By XX/XX/XXXX I got an email and call from XXXX which was essentially the same template used by XXXX and XXXX While its disheartening to learn of concerns such as yours, we also appreciate your comments because they enable us to identify areas of training and process improvement for our employees. Each customer truly has the ability to help shape our strategy in providing the service you expect and deserve. We will communicate any possible coaching opportunities to our team members ; however, we are unable to share outcomes of employee investigations. On behalf of Wells Fargo, we would like you to know that its our goal to provide superior customer service. Were sorry your experience didnt reflect our standards. 

There is no excuse that a Wells Fargo customer of nearly 10 years should be treated with such disregard and lack of transparency. I felt completely insignificant and neglected. 

This entire email is just a base representation of the work my dad, XXXX XXXX XXXX and myself have put into getting this matter resolved. I have a comprehensive email trail, documentation of check images, a confirmation number that the check was received and cashed. I will happily provide any of this information upon request via encrypted email or alternative secure methods. At this point I have done everything possible to get this situation resolved with Wells Fargo and XXXX XXXX directly and my patience has been exhausted so : Please consider this my final demand, as I have begun or am doing the following : As of XX/XX/XXXX I have filed a civil lawsuit against defendants Wells Fargo and XXXX XXXX ( Case Number : XXXX XXXX ) I have spoken with my Congressman XXXX XXXX  and initiated an investigation via a Constituent Service XXXX XXXX XXXX submitted a poor review with the XXXX and filed a case I submitted a poor review with XXXX on XX/XX/XXXX and will continue writing poor reviews on various social media platforms. 
On XX/XX/XXXX I emailed this document after doing my own research to find executive contact info. I have also mailed this certified mail to your headquarters per your attention. 
If this is not resolved quickly both my father and I will be closing our Wells Fargo accounts that we have had for over 10 years, one of which is a substantial business account. 

Your help would be very much appreciated to amiably resolve this matter to avoid further escalation. 
Sincerely, XXXX XXXX"
2711,"I placed a call to XXXX representative stating that I was suspecting of a scam. Impostor directed me to download the anydesk app.

After I downloaded the app he directed me to start two wires in order to safeguard my finds. He said that the money would be debited immediately after the test was performed. It was only way to have my money safe.

I followed the instructions and completed wires. I filed report with bank.

Impostor texted XXXX employee ID. 
XXXX XXXX XXXX phone impostor used to commit fraud Anydesk kept sending prompts that the caller was a XXXX  verified client"
2712,"On XX/XX/XXXX I received a text saying my bank account was compromised and to respond with Yes or No if I tried to do a transaction of {$3500.00}. The number was the Wells Fargo message number after I responded No, I got a call immediately from a bank representative. The phone number was the legit Wells Fargo number as I had double-checked the back of my debit card. They said I'd have to XXXX  myself the funds that were compromised, since the daily limit is {$1000.00} they set up an appointment the following day to finish it. The next day on the XXXX the scammer who impersonated the bank did call me on time and asked me to wire transfer the funds to myself. I figured it was legit since as stated they masked their real number with the Wells Fargo customer service number and followed the exact same procedures the bank does. The scammer however had access to my mobile login info and was able to use my information to send the money to his own account which I found out is a XXXX account. I called the XXXX to ask for a follow-up explanation and they informed me it was a scam. Immediately the lady who answered me made me feel ridiculous and said this fraud was all over the news. I had no idea this was happening as Wells Fargo didn't address this mass fraud problem in an official letter until the XXXX of XXXX. I have been going back and forth with the bank trying to get my money back but they are saying it's my problem as I ultimately sent the money. It's insane that it's been nearly 3 months of me being sent back and forth to different departments with representatives not even knowing how to handle it, and me spending nearly 2 hours on the phone with them. I have no clear answer as to how or if I will be able to get my money back, as the claims have been opened and closed multiple times. The last solution I can think of is filing complaints and having to talk to the FBI."
2717,"I have sent money to the same recipient every month for almost 5 years through XXXX via Wells Fargo. The recipient receives it at XXXX XXXX XXXX XXXX. I did the same on XX/XX/2022. She did not receive it. I called Wells Fargo, they said it was safe to use XXXX and they would look into the missing money. I did it again, it didnt go through again. I called WF again. They said they need 10 days. After 10 says they said the moneys gone not thier problem, and confirm it didnt go to XXXX, but they wont say where it went. 2 X {$810.00} total loss {$1600.00}. WF gets all the benefits of XXXX, non of the liability, and they provide no info or proof."
2718,"1. XX/XX/XXXX, attempted to make a purchase with my debit card with 'XXXX ' for $ XXXX and was declined. Recieved email from XXXX and a battle ensued about the racketeering activity they were conducting. 

2. Filed a complaint with the XXXX  about that transaction.. 

3. Response was slow and still pending with XXXX  against XXXX, so I attempted to make another purchase/transaction on XX/XX/XXXX ; also got rejected and for the same frivolous reasoning. 

4. I contacted my bank, XXXX, and requested explanation and they told me that the Merchant 's processor ( Well Fargo ) took the funds from my acct and held them. 

5. I am leveraging this financial institution 's action to the CFPB for immediate action for this racketeering activity, working in concert with their merchant XXXX to extort funds and as shown in the attached "" Dear XXXX '' XXXX sent to me ; XXXX is working with Well Fargo XXXX XXXX to hand deliver cash $ $ when there isn't a problem with my preferred method of payment. 

6. Per the attachment ; XXXX is telling me the justification for this action is my bank, XXXX has declined the funds, which they have not ... Additionally, I have overdraft protection on the acct ... SOOO DOUBLE, XXXX  is a fraud!!"
2719,"I was shocked by a friend of mine, at first of how she said she made all this money through a XXXX  investor she met on XXXX so I contacted the investor to see if she could help me in investing with XXXX. So when I got in contact with her she went through some steps with me and guided me into XXXX XXXX and I did {$1000.00} in XXXX wlch is now permanently gone, and later on had me to go to this website called cryptotrustminers.com to withdraw money that I put in but I couldn't, it was a scam the whole time she kept asking for more and more money just to get a withdraw out but nothing received, I was so hurt so I contacted my bank fraud department to see what they could help with but even they failed me, so now I'm out of {$3500.00} truly sad, I got scammed out of {$1000.00} on XXXX and {$2500.00} through XXXX transfer to the fake XXXX investor I don't know who I can run to for this type of situation"
2722,"On XX/XX/2022 I offered to buy a bag from XXXX. The seller asked me to text her to discuss more regarding the transaction. She offered a discount if I would pay her via XXXX. 
I was hesitating at first, but fell into her scam, and pay her via XXXX. 
-The first payment on XX/XX/2022 was half the amount of the total : {$620.00} She received the money, and send me the XXXX XXXX # XXXX - I checked the tracking, and see the tracking was started to move, So I send her {$370.00} ( That is the limit I can send to her that day ) - I keep checking and see that the tracking was continued to move, so the next day XX/XX/2022 I send her the rest of the balance : {$250.00} ( for the total of {$1200.00} ) I told her that I rerouted the package to one of the XXXX XXXX stores, because I'd like someone to witness ( when I open the box ) what is in the package, to avoid any problem in the future. 
- Next day when I check the tracking, I see that the seller had requested the box to ship back to her. 
I call the bank right away to report, the banker filed the claim for me, provided XXXX claims number for the XXXX XXXX transaction that I make. 
XXXX Claim number XXXX for {$620.00} XXXX Claim number XXXX for {$370.00} XXXX Claim number XXXX for {$250.00} The banker told me that someone will call me, but NO CALL from the bank! 
At the same time, I report the scammed to the FTC, Report # XXXX I also report to the XXXX and to the XXXX XXXX Police Department. 
case # XXXX, The assigned XXXX XXXX name is XXXX XXXX. 
On XX/XX/2022 the XXXX package was delivered to my home ; I opened the box. inside I found an old pair of shoes a crushed XXXX box, and a pair of old track pant. I ran to the police station right away to show them the box, they took the box and updated the report for me. 
I called the bank, they told me that they already CLOSED THE CASE. I was very disappointed, they did not call me, at least have some courtesy to update some information to help the case. 
I ask the banker if I have no chance to recover the money, or get some kind of protection from the bank to have my money refund, he said NO. 
This is the scammer Information : XXXX XXXX email : XXXX Phone : XXXX She gave me 2 addresses : XXXX XXXX XXXX, XXXX. FL XXXX XXXX XXXX XXXX, XXXX XXXX FL XXXX XXXX"
2724,"Since my report to XXXX Base on : refer XXXX can XXXX XXXX advocate for the payment of the permit fee for the presidential office?, as wells fargo argues that he has received orders from president joe biden to immediately complete the transfer of funds to my bank account in the name of my fund benefeciary. 

this relates to the payment of a permit fee for the process of sending my funds to the presidential office, according to him, with a permit fee of XXXX . and since my condition is bankrupt and i don't have the funds to pay, so i made an agreement and agreement with wells fargo according to the maximum that i can try to pay XXXX  , and they agreed that my XXXX $ shortfall will be completed by wells fargo bank, after my 2nd payment amounted to XXXX . and it is the responsibility of wells fargo to process and finalize it. 

I'm worried about this if wells fargo stops sending my funds and delays it in the process of completing my transfer of funds as a benefeciary of funds, because I can't afford to pay again up to XXXX , or because wells fargo forgets and breaks the promise we made. 

It is with this concern that I submit a submission to submit an advocacy to XXXX XXXX for the payment of a processing permit at the US presidential office, based on information from the wells fargo bank. at least I'm free from paying again after my last agreed cancellation. this is to emphasize and clarify the state of my position and request legal assistance on the laws in force in the federal us for the relief of my tax burden. And I at the same time apply for President Joe Biden 's prerogative to release my funds which have become my rights, for immediate delivery to my bank account, this is based on information from Wells Fargo Bank itself. 


Can the XXXX XXXX  advocate for me about the {$400.00} presidential office permit fee for the process of sending my international funds, if there is a case of delay or termination of sending my funds transfer process by wells fargo bank, because because I can't afford to pay anymore.??? 

and I don't want to talk about this to my friends, because my friends don't know as a sender what is the total amount that I will receive from this wells fargo bank? About this information from wells fargo bank. for not wanting to discuss this matter with her either. 

That's why I'm very worried about the behavior of Wells Fargo Bank, which broke the promise we had agreed on my inability to pay, namely that in this case they asked for another payment, after I paid the last one yesterday, which was approved and agreed yesterday. 

and I'm confused and don't know for sure how much will be transferred to my bank account? Even though I have been informed by the Wells Fargo Bank that XXXX XXXX dollars USD I will receive, but I am in doubt and ask, what is the real money? is it possible that my friend lied with the transfer of XXXX $??? Does she know or not? and I forgot the money that I sent to her and I don't remember the amount. 

and I don't want to talk about this to my friends, because my friends don't know as a sender what is the total amount that I will receive from this wells fargo bank? About this information from wells fargo bank. for not wanting to discuss this matter with her either. 

So how could my friend As the sender not know the amount of transfers she sent to me changed from the amount of XXXX $ changed in nominal to XXXX $ XXXX dollars Uad that I will receive. This makes me confused also to the sender.??? 

what if the attitude of wells fargo is not committed and consistent as we agreed, regarding my payment of administrative fees, this shows evidence that they are coercing me, for showing froud 's actions in the banking world. 

This is really weird and makes no sense to me. I can't stop thinking about this matter the amount of transfers, this is really beyond my expectations, and beyond the logic of the banking system around the world what is happening at wells fargo bank at this time that I'm experiencing. 

If there is a cost reduction this makes sense. with deducted transfer and administrative costs. What is even more unreasonable is when the bank asks for continuous payments without settlement and a final settlement to properly realize the transfer of funds. 

At least I asked for my money back from my payment to all of them, either wells fargo bank or irs department. I'm really dizzy with all of them, like a subtle blackmail that makes my savings also used up for payments to all of them. 

I ask for help from the XXXX XXXX  and analysts, to verify they are also correct about the funds I receive, and protect me from all of them, in case of fraud and froud that makes my life even more difficult here."
2727,"On XXXX my husband, received call claiming to be from XXXX ( XXXXXXXX XXXX XXXX ), the electricity is being shut off since acct was XXXX mos behind. Needed XXXX transfer for {$440.00}. No ATM or credit card were accepted since payment would not post till the next day. My husband was frantically trying to comply with the request. I handle all the finances but he did not want to wake me and tried to handle this himself. The transfer was not going thru since the confirmation # was being sent to our land line. I got involved and {$440.00} went thru I could see it post to WF but scammer kept saying it did not post on their end. Requested {$440.00} to be sent. Complied and still it was not posting on their end. Then they asked us to send over several other different amounts. Some of the transfers were credited back right away. They were testing to make sure it worked? WF closed, re-opened new acct. WF case # XXXX, will not reverse funds even involving FRAUD. 
Fraudulent XXXX transaction ( XXXX ) XX/XX/22 {$440.00} Ref # XXXX X paid to XXXX XXXX XX/XX/22 {$440.00} Ref # XXXX paid to XXXX XXXX"
2728,"I sold a website to XXXX XXXX for {$1700.00}. As the beneficiary, XXXX XXXX  tried to pay me through XXXX XXXX XXXX XXXX on XX/XX/2022 and the fund ended up at Wells Fargo ( an intermediate ) on XX/XX/2022. Wells Fargo couldn't apply the fund due to my account 's limitation that I wasn't aware of at the time - wrong account type ( XXXX  doesn't allow international wires )- so it was returned to the originating bank, XXXX XXXX XXXX XXXX  on XX/XX/2022. Confirmation ( from Wells Fargo ) is required for the availability of this fund. XXXX XXXX XXXX XXXX claimed they have submitted several confirmation requests ( including follow ups ) but Wells Fargo isn't responding."
2730,"On XXXX XXXX, 2021 I was scammed into taking {$13000.00} in cash out of my XXXX  checking account ( money which I didn't realize was actually mine because a fraudster had added it to my computer screen, on top of the money that was already in the account ) and, at the direction of the scammer, advised to take it to a Wells Fargo branch and deposit it in the following account, which the scammer intimated was an XXXX account : XXXX XXXX XXXX Acct. # : XXXX Transaction # : XXXX I took it to the Wells Fargo branch in XXXX, NJ, and deposited the cash in the account, which the teller recognized and acknowledged as a business checking account. 
Clearly, the account was fraudulent, or the owner had no idea perhaps that money was being laundered through his or her account. 
The XXXX XXXX police informed me that they had frozen the account ( whatever that means ) on XXXX XXXX. Since then, my phone calls to Detective XXXX XXXX have gone unanswered. 
I'm trying to recover the money. 
To my astonishment, the account still appears to be open! This I learned through the first level of the fraud department at Wells Fargo who was observing it on his computer screen. He was not at liberty to tell me what name was on the account or how much money was in there. 
So I submitted a complaint to Wells Fargo, and the response I got was : "" We understand you believe you initiated a deposit because of a fraud scheme ; however, your request to reclaim the cash you deposited into your account ( my account? It was an account I had no knowledge of, nor had I ever heard of XXXX XXXX XXXX ) is an example of an adverse claim against a deposit. This means that after funds are in a depositor 's bank account ( hey, it was NOT my bank account -- duhhhhhh! ), a third party does not have the right to receive the cash back simply by making a demand for the funds. We regret we are not in a position to be more helpful at this time. '' The account was and clearly is a fraudulent account. ( It occurred to me that Wells Fargo was at the heart of a massive fraud scandal that made the headlines several years back. ) If the account is still viable, as I believe it is, then surely Wells Fargo must be aware that either 1 ) it's fraudulent and possibly a money laundering account, or 2 ) not fraudulent, but being USED by someone as a money laundering account without the account owner 's knowledge. 
In any case, I had lodged a complaint against XXXX ( from whom I had withdrawn the money ) earlier, but I was foolishly pointing in the wrong direction. XXXX 's attitude was, well you took the money out and benefited from it ( I didn't benefit from it, I lost it ), so too bad for you. 
Anyway, perhaps you can investigate this. It has a very bad smell to it. 
The account was clearly fraudulent on XXXX XXXX, and if it has been open all the while, that would suggest the likelihood that it's fraudulent now. 
Perhaps you can look into this for me. 
Thanks in advance for your time and consideration. 

Sincerely, XXXX XXXX XXXX XXXX ( XXXX ) XXXX"
2736,"On XXXX XXXX, 2022 I got a text that my son ( who also has a Wells Fargo checking, savings and credit card account ) had sent me {$3500.00} via XXXX. I immediately called him, and he said he had just received a text from "" Wells Fargo '' asking if he authorized a {$200.00} transaction at XXXX XXXX. He replied "" XXXX '' and right after received a phone call that came up as "" Wells Fargo '' on his phone. He answered and the person on the phone said he was a Wells Fargo representative and my son confirmed he did not authorize a Home Depot transaction OR a {$3500.00} XXXX transfer from his Wells Fargo credit card to my checking account. The "" representative '' ( scammer ) said he would help him fix this. They contacted me on a 3 way call. The man said he was a Wells Fargo representative and that in order to fix my sons account, I needed to send that money back thru XXXX to my sons checking account and they would credit it back to his Wells Fargo credit card. I told him I could only send {$1000.00} a day on XXXX, so he told me to send {$1000.00} a day until I had paid back the {$3500.00} to my son 's account. He said once the funds were all received, it could take up to XXXX business days to get back into the right account. So, on XXXX XXXX, I sent {$1000.00} to my son, on XXXX XXXX, I sent another {$1000.00} to my son, on XXXX XXXX, I sent another {$1000.00} to my son and on XXXX XXXX I sent {$500.00} to my son via XXXX. After 10 days it still was not credited back to his account. He called Wells Fargo. They told him his claim was somehow closed. He told them he did NOT close it. They had to re-open the claim and wait AGAIN! After XXXX waiting period, his account was still not credited, until XXXX XXXX when Wells Fargo took {$3500.00} from MY checking account to credit back to my son 's account by online transfer reversal. I only had {$1000.00} in that account so that made me {$2500.00} overdrawn. I have been dealing with Online Claims, Fraud Dept and Escalation Team ever since and have been treated HORRIBLY by a bank I have been with for over 20 years. I have cried over the phone, and in the branch, and become hysterical and been snickered atm blocked from my account because I refused to give MORE personal information over the phone to Wells Fargo and I still have recevied NO resolve for almost 3 weeks now. The Branch manager at one of the branches says he filed a complaint for the way I have been treated and forwarded my case to Escalation, but nothing has been done. Wells Fargo has taken my last 2 paychecks and I still owe over {$400.00}. I keep being told to give them 10 days but it keeps getting stretched out! I can not get answers to exactly what happened but they way my son and I have gathered is that this scammer somehow took posession of his accounts and stole the initial {$3500.00} I sent to MY SON. No one can tell us where the "" original '' {$3500.00} has went."
2738,"Below is a copy of the letter sent to the XXXX XXXX XXXX XXXX, XXXX XXXX, at Wells Fargo Bank. 

XX/XX/2022 Dear XXXX, In response to your investigation conducted over the past couple of weeks regarding the international wire fraud of {$60000.00}, my comments are as follows : -I reported this wire fraud within an hour of the occurrence by calling the Wells Fargo XXXX branch manager and requesting a Swift recall. 
-I was told that a recall had been initiated and that Wells Fargo would involve the FBI as part of the process. 
-I put a hold on my accounts the same day, XX/XX/2022, Ref. # XXXX -The next day, XX/XX/2022, I went to the Wells Fargo XXXX branch and met with XXXX, XXXX and XXXX XXXX They assured me the wire recall was being escalated and that the Fraud Team was on it. 
-On XX/XX/2022, we changed all my accounts, opening new accounts and closing the old ones. 
-I began changing all my other personal accounts and changing usernames and passwords. 

Then, I waited, checking each day for updates. A case number was issued XXXX I did receive a couple of messages, telling me that Wells Fargo was investigating. You also sent me a message stating that a response would arrive by XX/XX/2022. But then, I received another message from you, requesting more time and your response would come on XX/XX/2022. 

When I read your email response on XXXX XXXX XXXXXX/XX/2022, I was stunned. 
You stated, "" That due to a high volume of fraud cases, a recall wasn't sent until XX/XX/2022. '' This is totally unacceptable. According to your response, the FBI was not involved at all. I am extremely disappointed by Wells Fargos lack of performance, on my behalf. 

I have returned to the Wells Fargo XXXX team and expressed my dismay at the entire process. I am considering action against the bank for inadequate action and performance. 

Thank you for your time, XXXX XXXX."
2739,"I have been a victim of wire transfer fraud recently. 
Date : XX/XX/2022 Amount : {$2100.00} XXXX transferred the above amount to Wells Fargo Account XXXX XXXX Account Identifier : XXXX Address : XXXX XXXX XXXX XXXX, XXXX XXXX XXXX, WI XXXX I could reclaim {$690.00} with the help of my bank - XXXX"
2740,"So I was On the market looking for a house. Sadly I fell for one of those scams where I saw the house was listed at a good price and the landlord isnt who they say they are. On XX/XX/2022 I fell for the scam and sent my landlord {$1000.00} from my saving account to secure a security deposit. The next day I seen that the email enrolled on XXXX was unenrolled so thats when I knew something was up. I called my bank and told them the situation I was in, they later said they would do a claim but it turns out they cant do anything because I verified the amount but before hand, I was going to verify the amount I asked the my banker if I could get reimbursed if this because a scam so I said yes verify the transaction. Later to find out it was a scam and im not being reimbursed after calling right after"
2742,"Me and my family tried renting a house we saw a listing on an app that said it was secure we set up a time to go see the house the same number texted us to go in and we saw the house in person so we didnt think anything of it, the person was impersonating a landlord, they texted us and sent us a application for the home we did it and they said we got approved instantly, me and my family were desperate to look for another home due to money issues we accepted and they then sent us a lease agreement online and since weve never rented a house before we thought it was normal we talked on the phone and everything seemed good, we didnt think anything of It so we signed and were told we were going to get the keys the next they, we were blocked the next day and never got the house we gave out personal information as well. We contacted my bank Wells Fargo and XXXX since we did the transaction there they said we couldnt get the money back and said to only send money to trusted people but the person completely fooled us and gained our trust it was an honest mistake and they need to help us I dont know what else to do this happened about 11 days ago."
2743,"I was contacted by a mobile phone number posing as Wells Fargo Fraud Department asking if I had authorized a charge for {$800.00} at XXXX XXXX XXXX, I replied no and was told I would be contacted by a representative. I was then called by someone with the same number as the actual Well 's Fargo Fraud Department and was then asked a series of questions in regards to my identity an account information. I unknowingly gave the scammer access codes that I received on my phone to change my online bank account password and as well as my social security number. The scammer then asked for a final code while being told that my account was flagged for a series of fraudulent activities. The last code was to authorize a XXXX Transfer for {$1000.00}, I noticed the text and notified the person on the phone but was assured that it was a part of canceling a charge. I have since contacted my bank to explain the situation. The scammer had already obtained my online login information : username and password, before initiating contact with me and used the actual Wells Fargo 's Fraud Department number to contact me from. This is the only reason I provided the scammer any access codes."
2746,I issued a claim dispute on XX/XX/XXXX in reference to an order I placed the previous year on XX/XX/XXXX for merchandise that I never received. The merchandise was bought through XXXX at the cost of {$190.00}. I contacted the seller but never received an answer. After opening the dispute with Wells Fargo nothing was achieved and the case was closed shortly after it was opened. I attempted to call the Wells Fargo service but was told that there was nothing that could be done regarding the refund.
2750,"On XX/XX/XXXX, I was lied to and mislead into sending XXXX $ to an authorized XXXX account through my Wells Fargo on line app resulting in my filing a claim through Wells Fargo. The individual ( XXXX XXXX XXXX ) ( XXXX ) XXXX then unregistered his account from XXXX which is visible from my mobil app, resulting in my claim being denied, since the account was closed before funds could be recaptured and I was denied reimbursement. Wells Fargo is acting outside of policy. As it reads, within the Consumer Financial Bureau 's Electronic Fund Act, regulation E. If you are induced by an individual banks must return your money. 

Claim # XXXX Claim # XXXX"
2753,"I experienced wire fraud ( in the form of a spoofed email appearing to be from my real estate attorney ) during the closing of our new home. A wire ( for approximately {$280000.00} ) was sent from our bank account at XXXX to Wells Fargo where it was flagged as potential fraud ( wire beneficiary name did not match the receiving account name ). Without confirmation or verification from me, both banks released the funds and WF then allowed those funds to be withdrawn. Investigations at both banks claimed that they were not at fault and each blamed each other for the wrongdoing. I feel that both banks have failed in their responsibilities, not only in protecting their clients assets but in following the law. XXXX claims to have investigated and found they weren't at fault. Wells Fargo claims that they can rely on XXXX Article XXXX to absolve them of their responsibility because it governs automated wires. Unfortunately because Wells Fargo flagged the potential fraud to XXXX, this wire was not fully automated and human intervention was required, negating their shield of the XXXX. 

I believe that Wells Fargo is culpable for opening a fraudulent account to receive these funds. So either they didn't follow bank protocols to regulate ( employing XXXX, XXXX and proper due diligence requirements ) or it was an inside job. I'd like a full investigation as to what happened. 

XXXX XXXX"
